Day,Month,Poop collected y/n,AM/PM,Weather,Loc Desc,Scan time,Age,Sex,Strata,Behavior,Descriptor,Location
11,June,,AM,SC LW,F RV ,10:15,A,F,HS,Dr,ST,RV
11,June,,AM,SC LW,F RV ,10:15,A,M,G,L,0,RV
11,June,,AM,SC LW,F RV ,10:15,I,U,G,L,0,RV
11,June,,AM,SC LW,F RV ,10:15,A,M,MC,R,0,RV
11,June,,AM,SC LW,F RV ,10:15,I,U,G,L,0,RV
11,June,,AM,SC LW,F RV ,10:15,J,U,G,L,0,RV
11,June,,AM,SC LW,F RV ,10:15,J,M,G,L,0,RV
11,June,,AM,SC LW,F RV ,10:15,A,F,HS,L,0,RV
11,June,,AM,SC LW,F RV ,10:15,J,U,HS,Dr,ST,RV
11,June,,AM,SC LW,F RV RO,10:20,I,U,HS,Dr,ST,RO
11,June,,AM,SC LW,F RV RO,10:20,J,U,G,L,0,RO
11,June,,AM,SC LW,F RV RO,10:20,J,U,MC,L,0,F
11,June,,AM,SC LW,F RV RO,10:20,J,U,HCS,R,0,RO
11,June,,AM,SC LW,F RV RO,10:20,J,U,HCS,R,0,RO
11,June,,AM,SC LW,F RV RO,10:20,J,U,HCS,R,0,RO
11,June,,AM,SC LW,F RV RO,10:20,J,F,MC,Fe,N,F
11,June,,AM,SC LW,F RV RO,10:20,A,M,MC,L,0,F
11,June,,AM,SC LW,F RV RO,10:25,J,U,HS,R,0,RO
11,June,,AM,SC LW,F RV RO,10:25,J,U,HS,R,0,RO
11,June,,AM,SC LW,F RV RO,10:25,J,U,HS,R,0,RO
11,June,,AM,SC LW,F RV RO,10:25,J,U,HCS,Fo,N,F
11,June,,AM,SC LW,F RV RO,10:25,I,U,HCS,L,0,F
11,June,,AM,SC LW,F RV RO,10:25,I,U,HCS,Fo,N,F
11,June,,AM,SC LW,F RV RO,10:25,J,U,HS,PL,0,RO
11,June,,AM,SC LW,F RV RO,10:25,J,U,HS,PL,0,RO
11,June,,AM,SC LW,F RV RO,10:30,A,F,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:30,A,M,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:30,I,U,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:30,I,U,MC,L,0,F
11,June,,AM,SC LW,F RV RO,10:30,A,F,G,R,0,PW
11,June,,AM,SC LW,F RV RO,10:30,J,U,G,R,0,PW
11,June,,AM,SC LW,F RV RO,10:30,J,U,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:30,J,U,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:30,J,U,MC,Fo,N,F
11,June,,AM,SC LW,F RV RO,10:30,J,U,MC,Fo,N,F
11,June,,AM,SC LW,F RV RO,10:30,J,U,HS,PL,0,RO
11,June,,AM,SC LW,F RV RO,10:30,J,U,HS,PL,0,RO
11,June,,AM,SC LW,F RV RO,10:30,J,U,HS,PL,0,RO
11,June,,AM,SC LW,F RV RO,10:30,I,U,HS,L,0,RO
11,June,,AM,SC LW,F RV RO,10:45,J,U,MC,Fo,N,F
11,June,,AM,SC LW,F RV RO,10:45,J,U,MC,Fo,N,F
11,June,,AM,SC LW,F RV RO,10:45,I,U,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:45,I,U,TC,L,0,F
11,June,,AM,SC LW,F RV RO,10:45,A,F,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:45,I,U,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:45,A,M,HS,L,0,RO
11,June,,AM,SC LW,F RV RO,10:50,A,M,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:50,J,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,A,F,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,I,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,A,F,R,R,0,F
11,June,,AM,SC LW,F RV RO,10:50,A,M,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:50,A,M,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:50,A,F,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,J,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,J,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,J,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,J,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,J,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:50,A,F,HS,L,0,RO
11,June,,AM,SC LW,F RV RO,10:50,J,U,HS,L,0,RO
11,June,,AM,SC LW,F RV RO,10:55,A,F,G,Fo,HFg,F
11,June,,AM,SC LW,F RV RO,10:55,I,U,G,Fo,HFg,F
11,June,,AM,SC LW,F RV RO,10:55,A,F,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:55,A,F,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:55,A,M,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:55,J,M,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:55,I,U,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:55,I,U,MC,R,0,F
11,June,,AM,SC LW,F RV RO,10:55,I,U,MC,L,0,F
11,June,,AM,SC LW,F RV RO,10:55,I,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:55,I,U,G,L,0,F
11,June,,AM,SC LW,F RV RO,10:55,A,F,R,R,0,F
11,June,,AM,SC LW,F RV RO,10:55,A,F,G,R,0,F
11,June,,AM,SC LW,F RV RO,10:55,A,F,G,R,0,F
11,June,,AM,SC LW,F RV RO,11:00,A,M,MC,R,0,F
11,June,,AM,SC LW,F,11:05,I,U,MC,L,0,F
11,June,,AM,SC LW,F,11:05,A,M,G,R,0,F
11,June,,AM,SC LW,F,11:10,I,U,MC,L,0,F
11,June,,AM,SC LW,F,11:10,J,M,MC,L,0,F
11,June,,AM,SC LW,F,11:10,A,F,MC,L,0,F
11,June,,AM,SC LW,F,11:10,I,U,MC,L,0,F
11,June,,AM,SC LW,F,11:10,I,U,MC,L,0,F
11,June,,AM,SC LW,F,11:15,A,F,MC,L,0,F
11,June,,AM,SC LW,F,11:15,J,U,MC,L,0,F
11,June,,AM,SC LW,F,11:15,I,U,MC,R,0,F
11,June,,AM,SC LW,F,11:15,I,U,MC,L,0,F
11,June,,AM,SC LW,F,11:15,I,U,MC,L,0,F
